DSS No.,Asset development stages,Leading practice area,Leading practice activity,Context,Decision(s),Rationale,Information requirements,Technical and process considerations,Related ARD/ML leading practices areas/activities,Useful GARD Guide resources,Figure 1,Figure 2,Figure 3,Content
39,Operations,Develop and refine ARD/ML management plan,Monitoring Program Plan,"During operations, ARD/ML monitoring focuses on data collection and data management per the monitoring plan. The monitoring plan is refined as appropriate based on changed findings, expectations, and conditions. Changes in mine operation, in particular, may require an adjustment of the monitoring plan.",(1) Are changes to the monitoring program warranted based on changed objectives or conditions or on learnings from the adaptive management process?,The ARD/ML management plan is a dynamic document that is updated as required to incorporate site changes relevant to ARD/ML; the monitoring program is modified accordingly such that the defined objectives of the ARD/ML management plan continue to be met.,"(1) Changes to the mine plan
(2) Company drainage prediction guidelines/requirements
(3) Applicable regulatory guidelines and site permit requirements
(4) Monitoring data from previous stages","Monitoring program components may include:
(1) Mine workings (eg sump and dewatering well water quality, pit lake, wall washing from mine and pit walls)
(2) Waste rock piles (eg seepage, runoff, pore water, gas transfer, temperature, oxygen profiles)
(3) Tailings storage facility (eg pore water from saturated and unsaturated zones, runoff, seepage, water cover, hydraulic conductivity, hydraulic head, air permeability, moisture content, pore gas oxygen)
(4) Climate (eg precipitation gauges, evaporation pans, snowpack, wind, temperature)
(5) Surface water flow and quality at exposure and reference areas
(6) Sediment quality at exposure and reference areas
(7) Groundwater flow and quality at exposure and reference areas
(8) Biological receptors at exposure and reference areas (eg fish, benthic macroinvertebrates, periphyton, amphibians) 
(9) Statistical considerations (eg sample variation, frequency distribution) 
(10) Sampling frequency (eg considering climate and temporal variability in ARD/ML release and in receptor sensitivity)
(11) Sampling methods and protocols (eg site specific characteristics, permit requirements, and required accuracy and precision, standard operating procedures)
(12) Analytes and laboratory methods (the parameters typically of most relevance for ARD monitoring programs are: pH, acidity, alkalinity, electrical conductivity, and sulphate and metals of interest as determined for a particular asset during characterisation)
(13) Quality assurance/quality control procedures

If modifications to the monitoring program are required to meet the objectives of the ARD/ML management plan, the monitoring plan is updated accordingly.","(1) Develop and refine ARD/ML management plan → Characterisation
(2) Develop and Refine ARD/ML management plan → Prediction
(3) Develop and Refine ARD/ML management plan → Prevention, mitigation, and treatment
(4) Define and refine ARD/ML management plan → Monitoring plan
(5) Define and refine ARD/ML management plan → Integration with mine, water, and waste planning
(6) Implement ARD/ML management plan → Integration with mine planning and operations
(7) Monitor and assess performance → Transparency in data management and reporting
(8) Continual improvement of ARD/ML practices → Adaptive management
(9) Integrated closure → Integrated closure","(1) Chapter 8: Monitoring
(2) Chapter 8, Table 8-5: Monitoring Activity Guidance
(3) Chapter 11: Sustainable Mine Closure ",Picture,No figure,No figure,Y
40,Operations,Develop and refine ARD/ML management plan,"Development and Integration with Mine, Water, Waste, and Closure Plans","In the operational stage, the ARD/ML management plan is updated as needed with operational geochemical verification and characterisation data, ARD/ML monitoring data, changes to mine and/or closure plans, changes to water and/or waste management strategies/measures.",(1) Should the ARD/ML management plan be updated?,"ARD/ML management activities are operationalised during the operations stage and performance monitoring is used to evaluate the effectiveness of the measures. During operations, the ARD/ML management plan and its updates represent a critical resource to capture ARD/ML monitoring data, changes to ARD/ML prevention and mitigation measures, and changes in mine planning and closure planning. The updated ARD/ML management plan creates efficiencies for integrated closure planning and the closure stage.","(1) Results from geochemical verification and/or characterisation programs during operations
(2) New or updated drainage chemistry predictions
(3) Relevant mine waste and water operational data (production records, material masses stored, water volumes managed)
(4) Changes in mine plan and/or closure plan
(5) ARD/ML monitoring data
(6) Any changes to (integrated) mine waste and water management strategies or measures","The ARD/ML management plan is updated during the operational stage to represent the consolidated repository of all ARD/ML data, information, measures, and commitments associated with the asset. Updated ARD/ML management plans also act as a reference for ARD/ML components of operational management and monitoring plans.

Potential triggers to update the ARD/ML management plan include:
(1) Changes to the ARD/ML strategy for the mine site. 
(2) Changes to the mine plan and/or closure plan.
(3) Changes in mine water or waste management strategies or measures
(4) To support mine planning (forecasting) initiatives

Results from geochemical verification and characterisation programs should be interpreted against program objectives and documented for reference in the ARD/ML management plan. Key findings should be summarised in a revision of the ARD/ML management plan and included in the ARD/ML database for the mine site.

It is essential that all functions responsible for ARD/ML planning, mine planning, mine waste planning, mine water management planning, closure planning, and social engagement communicate on a regular basis and develop a record of topics discussed, decisions made, required actions, and responsible/accountable parties for execution of those actions.","(1) Develop and refine ARD/ML management plan → All leading practice activities
(2) Integrated closure → Integrated closure","(1) Chapter 3: Corporate, Regulatory, and Community Framework
(2) Chapter 9: Acid Rock Drainage Management and Performance Assessment
(3) Chapter 10: Acid Rock Drainage Communication and Consulting
(4) Chapter 11: Sustainable Mine Closure",No figure,No figure,No figure,Y
41,Operations,Implement ARD/ML plan,Integration with Mine Planning and Operations,"During the operations stage, the ARD/ML management plan updated during the construction stage is implemented. Implementation of the ARD/ML management plan takes place through management systems and standard operating procedures. Management systems, such as environmental management systems (EMS) are used to implement ARD/ML management activities defined for the operations stage. ARD/ML management activities are defined in the ARD/ML management plan/or related environmental, mine water and mine waste management and monitoring plans.","(1) Are mechanisms identified and described to implement the ARD/ML management plan in the operations asset development stage in an integrated way with mine planning, operations, and the closure plan?","Effective implementation of ARD/ML management activities during the operations stage is critical to the effective prevention and mitigating of ARD/ML risks associated with the asset. 

Effective implementation and operationalisation of ARD/ML management, prevention and mitigation measures is required to reduce the ARD/ML risks to levels that meet regulatory requirements, asset financial goals, closure objectives and stakeholder expectations. ","(1) ARD/ML management plan with specific focus on ARD/ML activities identified for operation
(2) Environmental, mine water and mine waste management, monitoring and closure plans with specific focus on ARD/ML management activities that are embedded in these plans
(3) Description of environmental monitoring systems or relevant management system structure and activities
(4) Standard operating procedures and/or specifications for ARD/ML management activities","A key objective of the ARD/ML management plan is to identify and describe the ARD/ML management activities that are to be implemented during the operations stage. The execution of these activities requires appropriate allocation of responsibilities for these tasks. The asset’s general manager is ultimately accountable for the implementation of the ARD/ML management plan. Mine or mill managers are typically responsible for the implementation of the ARD/ML management plan. Monitoring activities can be incorporated in broader environmental or geological monitoring programs with appropriate accountability assigned. ARD/ML related monitoring activities require standard operating procedures.

Geochemical verification (quality assurance/quality control) activities related to mine waste (tailings, waste rock, process wastes) production are typically captured in the design specifications and/or standard operating procedures for these activities. Responsibility for these tasks is assigned to the relevant department with appropriate accountability assigned. Tasks can be performed by suitably qualified internal staff or external contractors/consultants.

Reviews/audits of the ARD/ML management plan typically occur during the operations stage. This could include evaluating field data and assessing performance against the plan objectives, interpreting the data, and linking data from the construction activities (eg comparing mine dispatch data on segregation of waste rock against seep survey data from the dump or evaluating geochemical suitability of construction materials). Where required, evaluation should be completed be an appropriately qualified scientist/engineer with practical experience across relevant disciplines to ensure that the ARD/ML management issues relevant to the mining and process operation are understood directly at the asset level.

Various ARD/ML related assessments, including responding to changes in the mine plan (requiring additional characterisation, prediction, prevention and mitigation), the optimisation of mine water and mine waste management strategies, evaluation of ARD/ML related closure measures and updating of post closure drainage chemistry predictions, take place during the operations stage. Learnings or adjustments resulting from the implementation of the ARD/ML management activities should be included in the next version of the ARD/ML management plan. It is essential that all functions responsible for ARD/ML planning, mine planning, mine waste planning, mine water management planning, closure planning, and social engagement communicate on a regular basis and develop a record of topics discussed, decisions made, required actions, and responsible/accountable parties for execution of those actions.","(1) Define and refine ARD/ML management plan → Development and integration with mine, water, waste, and closure plans
(2) Monitor and assess performance → Transparency in data management and reporting
(3) Continual improvement of ARD/ML practices → Adaptive management","(1) Chapter 9: Acid Rock Drainage Management and Performance Assessment
(2) Chapter 10: Acid Rock Drainage Communication and Consulting
(3) Chapter 11: Sustainable Mine Closure",No figure,No figure,No figure,Y
42,Operations,Monitor and assess performance,Transparency in Data Management and Reporting,"As mining progresses in operations, effects of weathering of the exposed mineralised rock, mine, and process wastes become more apparent. Monitoring of existing mine-waste facilities and mine voids (eg open pit, underground mine) provides valuable data on geochemical reaction rates under field conditions. With an ARD/ML management plan in place, the fundamental objective of performance assessment and monitoring is to determine the effectiveness of that plan rather than simply the evolution of the ARD/ML process.","(1) Is the evolution of ARD/ML from sources/deposits under the applied control measures developing in accordance with model predictions? 
(2) Are the control systems working? 
(3) Is the performance of ARD/ML activities, as defined in the ARD/ML management plan, meeting performance objectives and criteria?","Implementation indicators reflect how well the ARD/ML management plan is being executed. Performance indicators reflect how well elements of the ARD/ML management plan are performing against expected performance values. Monitoring involves the measurement of implementation and performance in accordance with indicators, both leading indicators to predict future performance and lagging indicators to reflect past performance. Assessment involves the comparison of observed indicator values compared to expected values. If assessment indicates that achieved performance indicators vary significantly from the expected values in the ARD/ML management plan, it must be modified to achieve the desired performance (objectives) through the process of adaptive management.","(1) Results from geochemical characterisation program 
(2) Results from prediction of drainage chemistry
(3) Mine plan and closure plan
(4) Company drainage prediction guidelines/requirements
(5) Applicable regulatory guidelines and site permit requirements
(6) Standard operating procedures
(7) Key Performance Indicators
(8) Adaptive management
(9) Mine workings (sump and dewatering well water quality, pit lake, wall washing from mine and pit walls)
(10) Waste rock piles (seepage, runoff, pore water, gas transfer, temperature, oxygen profiles)
(11) Tailings storage facility (pore water from saturated and unsaturated zones, runoff, seepage, water cover, hydraulic conductivity, hydraulic head, air permeability, moisture content, pore gas oxygen)
(12) Climate (precipitation gauges, evaporation pans, snowpack, wind, temperature)
(13) Surface water flow and quality at exposure and reference areas
(14) Sediment quality at exposure and reference areas
(15) Groundwater flow and quality at exposure and reference areas
(16) Biological receptors (fish, benthic macroinvertebrates, periphyton, amphibians) at exposure and reference areas
(17) Statistical considerations (eg sample variation, frequency distribution 
(18) Sampling frequency (eg considering climate and temporal variability in ARD/ML release and in receptor sensitivity)
(19) Sampling methods and protocols (eg site-specific characteristics, permit requirements, required accuracy and precision, standard operating procedures)
(20) Analytes and laboratory methods (the parameters typically of most relevance for ARD monitoring programs are: pH, acidity, alkalinity, electrical conductivity, and sulphate and metals of interest as determined for a particular asset during characterisation
(21) Quality assurance/quality control procedures","Examples of deviations and variances from planned/expected conditions requiring further evaluation are:
(1) ARD/ML properties from those designed for in the mine plan
(2) Waste quantities and management procedures from the mine plan
(3) ARD/ML water flows, water balance and treatment operation from the mine plan
(4) Seepage water quality from waste rock piles or in groundwater quality 
(5) Treated water discharge qualities compared with treatment quality objectives
(6) Observed versus predicted time histories, for instance for evolution of water qualities 

Any such deviations/variances indicate a need for recalibration of predictive models and reassessment of control measures effectiveness and requirements to meet the long-term objectives of the ARD/ML management plan. Indicators used for monitoring environmental impacts are typically a measure of quantity and quality of the natural resources and biota over and downstream of sources/deposits (eg vegetation and biota species abundance, surface water/groundwater quality in the receiving environment).

ARD/ML data and information obtained during the operations stage need to be compiled in a systematic manner in an electronic repository accessible to all functions involved with ARD/ML management. A record should be kept of formal discussions of ARD/ML related topics, decisions made, required actions, and responsible/accountable parties for execution of those actions. Data management procedures should include standard recordkeeping procedures, document control, and the approach for electronic storage and retrieval. Ongoing data evaluation is required to assess data quality and provide feedback to environmental management systems (eg evaluation of water quality trends to identify the onset of ARD/ML or the need for modifications of sample locations, frequencies or analytical parameters).

To enable the rapid assessment of implementation and performance of ARD/ML management measures, trigger values should be established for ‘alerts’ and ‘response’ actions. When an ‘alert’ value is reached during monitoring, an increased level of monitoring and assessment is triggered. When a ‘response’ value is reached, the required assessment and response actions (eg contingency measures) should be initiated.","(1) ARD/ML objectives, standards, and KPIs → Set ARD/ML objectives, standards, and KPIs at asset level
(2) Develop and refine ARD/ML management plan → Characterisation
(3) Develop and refine ARD/ML management plan → Prediction
(4) Develop and refine ARD/ML management plan → Prevention, mitigation, and treatment
(5) Define and refine ARD/ML management plan → Monitoring plan
(6) Define and refine ARD/ML management plan → Development and integration with mine, water, waste, and closure plans
(7) Implement ARD/ML management plan → Integration with mine planning and operations
(8) Monitor and assess performance → Transparency in data management and reporting
(9) Continual improvement of ARD/ML practices → Adaptive management
(10) Integrated closure → Integrated closure","(1) Chapter 9: Acid Rock Drainage Management and Performance Assessment
(2) Chapter 9, Figure 9-1: Flowchart for Performance Assessment and Management Review
(3) Chapter 9, Table 9-4: Monitoring and Performance Assessment of Success
(4) Chapter 11: Sustainable Mine Closure ",Picture,Picture,No figure,Y
43,Operations,Continual improvement of ARD/ML practices,Adaptive Management,"In the operations stage, the monitoring and performance assessment results are used to determine if the management practices are meeting the defined objectives of the ARD/ML management plan. The adaptive management plan describes the uncertainty to be addressed and the process/activities/timeline to address the uncertainty and fulfil the defined objectives of the ARD/ML management plan. ","(1) Are the management practices in the current asset stage meeting the defined objectives of the ARD/ML management plan or other integrated management plans, as applicable?","If the current defined objectives are not being met, the adaptive management process should be initiated to address and reduce uncertainties. Adaptive management plans are living documents that are continually updated as project or environmental conditions change. The ARD/ML management plan is similarly updated to reflect adaptive management.","(1) ARD/ML management plan and other integrated mine waste and water management and closure plans
(2) Operations stage monitoring and performance assessment results
(3) Company drainage prediction guidelines/requirements
(4) Applicable regulatory guidelines and site permit requirements
(5) Key performance indicators","The results of the monitoring program and performance assessment during the operations stage are compared to the results from the geochemical characterisation program and the predictions of drainage chemistry conducted during previous stages and to the defined objectives, standards and KPIs. Unexpected outcomes are assessed, and learnings are identified that will serve to reduce uncertainty. The adaptive management plan describes the uncertainty to be addressed and the process/activities/timeline to address the uncertainty and fulfil the defined objectives of the ARD/ML management plan. Based on the results of the adaptive management process, the practices described in the integrated mine waste, mine water, closure, and ARD/ML management plans are then modified accordingly to better achieve the desired objective of the Plans. The monitoring programs are also revised to improve the performance assessment process.","(1) ARD/ML objectives, standards, and KPIs → Set ARD/ML objectives, standards, and KPIs at asset level
(2) Define and refine ARD/ML management plan → Characterisation
(3) Define and refine ARD/ML management plan → Prediction
(4) Define and refine ARD/ML management plan → Monitoring plan
(5) Implement ARD/ML management plan → Integration with mine planning and operations
(6) Monitor and assess performance → Transparency in data management and reporting","(1) Chapter 6: Prevention and Mitigation
(2) Chapter 6, Figure 6-4: Adaptive Management Implementation by Phased Approach
(3) Chapter 11: Sustainable Mine Closure",Picture,No figure,No figure,Y
44,Operations,Integrated closure,Integrated Closure,"As closure planning progresses during operations, knowledge gaps are closed, closure options are assessed, field trials are implemented to reduce uncertainty, and operational and/or closure designs are refined. This process provides direct feedback to the ARD/ML characterisation and prediction programs, identifying knowledge gaps that may need to be addressed through those programs before operational and/or closure design can be finalised. Unplanned closure is also more likely for most assets than closure at the exhaustion of a resource. Progressive management of ARD/ML impacts reduces the potential uncertainty, liability, and risk associated with unplanned closure. Characterisation and prediction programs for operations are refined based on the evolving needs of the mine and closure plans. ",(1) Are mechanisms identified and documented for ARD/ML leading practice areas and activities that support ongoing closure planning to ensure that closure execution is efficient and effective?,"The ARD/ML leading practice areas and activities conducted during the operations stage are used to further refine and add detail to the closure plan. During this stage, a significant amount of information on the ARD/ML sources, characterisation (maturity), and prediction of future ARD/ML generation is obtained through confirmatory and ongoing characterisation and prediction activities. Prevention, mitigation, and treatment activities and the results of the monitoring and performance assessment are used to inform the design of closure options in consultation with stakeholders. As the operations stage advances toward closure, the closure plan is progressively updated with an increasing level of detail on the assessment of chemical stability and the design of closure measures.","(1) ARD/ML management plan refined during construction 
(2) Closure plan refined during construction
(2) Results from geochemical verification and/ or characterisation programs during construction 
(3) Changes in mine plan
(4) ARD/ML monitoring data
(5) Company drainage prediction guidelines/requirements
(6) Company closure guidelines/requirements
(7) Applicable regulatory guidelines
(8) Risk acceptance by company and stakeholders
(9) Feedback on closure vision and design from ongoing stakeholder engagement ","It is not uncommon to make important determinations on closure technologies during operations, particularly where operational management of ARD/ML is evidenced to not be successful and the likelihood of active closure mitigation, which may include ongoing water treatment, increases (eg is treatment needed? Which constituents need to be removed by treatment? How long will treatment be needed? Is active or passive treatment required?). Similarly, adaptive management is frequently employed during operations to adjust practices related to ARD/ML management.

It is considered leading practice to implement progressive closure (aka concurrent closure) where practical. Progressive closure is the implementation of closure works during the operations Stage. For example, (portions of) waste rock facilities or tailings impoundments may be partially or fully closed with covers placed while other facilities are still in operation. Similarly, (portions of) open pits and underground workings may be backfilled with mine waste. As needed, and on an incremental basis, detailed (construction) level designs are developed during operations for any progressive closure activities. In addition to reducing the overall closure liability for the asset, this provides a practical way to evaluate performance and refine the technologies that will be applied in the final closure. Progressive closure requires a degree of certainty around closure actions to be undertaken for a particular mine landform or facility. Hence, having a clear understanding of closure options, including source control, available to mitigate ARD/ML early in the life of the asset and advancing the options selection process is essential to being able to successfully implement progressive closure activities.","(1) Develop and refine ARD/ML management plan → Characterisation
(2) Develop and refine ARD/ML management plan → Prediction 
(3) Develop and refine ARD/ML management plan → Prevention, mitigation, and treatment 
(4) Implement ARD/ML management plan → Integration with mine planning and operations
(5) Monitor and assess performance → Transparency in data management and reporting
(6) Continual improvement of ARD/ML practices → Adaptive management","(1) Chapter 10: Acid Rock Drainage Communication and Consulting 
(2) Chapter 11: Sustainable Mine Closure",No figure,No figure,No figure,Y
45,Closure,ARD/ML Governance and Strategy,Define ARD/ML Governance and Strategy at Corporate Level,,,,,,,,,,,N
46,Closure,"ARD/ML objectives, standards, and KPIs","Set ARD/ML Objectives, Standards, and KPIs at Asset Level","The ARD/ML objectives at the asset level should continue to remain relevant as site conditions evolve. As the asset transitions into closure, leading and lagging key performance indicators (KPIs) continue to be used to assess the implementation of an ARD/ML management strategies.","(1) Are ARD/ML KPIs and objectives still applicable to closure and post-closure or do they require modification? 
(2) Are ARD/ML KPIs and objectives modelled to be achieved, exceeded, or not met in the long term?","If measures are not effective and objectives are not being met, then intervention and modification of prevention/mitigation measures may be required to reduce risk of further environmental impacts and additional costs during Closure and post-closure.","(1) Water quality monitoring data 
(2) ARD/ML sources, pathways, and receptors 
(3) Long-term predictions and modelling based on current site context and monitoring data, incorporating climate change predictions and regional activities that may influence outcomes
(4) Closure outcome and post-closure land use to be achieved",(1) Continued engagement with regulator and other asset stakeholders,"(1) ARD/ML governance and strategy → Define ARD/ML governance and strategy at corporate level
(2) Monitor and assess performance → Transparency in data management and reporting [closure]
(3) Continual improvement of ARD/ML practices → Adaptive management","(1) Chapter 3: Corporate, Regulatory, and Community Framework
(2) Chapter 8: Monitoring 
(3) Chapter 10: Acid Rock Drainage Communication and Consulting
(4) Chapter 11: Sustainable Mine Closure ",Picture,No figure,No figure,Y
47,Closure,Develop and refine ARD/ML management plan,Characterisation,"Geochemical characterisation during closure may be required if new construction materials are being considered for closure activities, such as borrow sources for covers. In the event of dealing with an existing closed asset (ie legacy asset), available information and data should be reviewed against the requirements of the ARD/ML practices and activities defined in the preceding asset development stages.",(1) Are there new materials requiring ARD/ML characterisation?,Implementation of closure geochemical characterisation programs due to new materials being considered for closure activities.,(1) ARD/ML management plan and specific characterisation and verification procedures for materials used in closure.,"(1) If adjustments to the characterisation and verification programs are required, document the reasons in revised ARD/ML management plan. The ARD/ML management plan is a dynamic document that is updated periodically to incorporate changes to ARD/ML management activities.
(2) If new materials are characterised, follow site testing procedures (for more details select Design → Develop/Refine ARD/ML management plan → Characterisation).
(3) All data generated should be made available in a digital format and asset geochemical database.","(1) Develop and Refine ARD/ML management plan → All leading practice activities
(2) Develop and refine ARD/ML management plan → Characterisation
(3) Monitor and assess performance → Transparency in data management and reporting","(1) Chapter 4: Defining the Problem – Characterisation
(2) Chapter 4, Table 4-4: Geological Characteristics of Mineral Deposits that Affect Their Environmental Signatures 
(3) Chapter 5: Prediction
(4) Chapter 9: ARD/ML Management and Performance Assessment
(5) Chapter 11: Sustainable Mine Closure ",Picture,No figure,No figure,Y
48,Closure,Develop and refine ARD/ML management plan,Prediction,"During closure, the objective of updating drainage chemistry prediction is to (1) support the final confirmation of closure options at the individual domain level and asset/site-wide level, and (2) predict post-closure drainage compositions to inform closure planning. In the event of dealing with an existing closed asset (ie legacy asset), available information and data should be reviewed against the requirements of the ARD/ML practices and activities defined in the preceding asset development stages.",(1) Are drainage chemistry predictions that require updating during the closure asset development stage identified?,"The accurate prediction of drainage chemistries is particularly critical during closure as they affect the ability to achieve closure outcomes and minimise closure liabilities. While all modelling since the design stage should incorporate the closure and post-closure timeframes, in the event that this has not occurred, models predicting closure and post-closure drainage chemistries are calibrated with monitoring data and then used to evaluate the effectiveness of closure measures and their ability to achieve closure objectives. Prediction of drainage chemistries extending into the post-closure stage is also critical to demonstrate compliance with water quality objectives/criteria and understand the long-term nature of ongoing closure activities such as water treatment.","(1) Closure plan, including closure outcomes and objectives, layouts/designs of closure domains, and proposed post-mining land capability and use(s).
(2) Surface and groundwater water quality monitoring data relevant to ARD/ML.
(3) Operational material management data (waste production rates, encapsulation designs, water volumes etc.)
(4) Results from geochemical characterisation and/or verification activities. 
(5) ARD/ML management plan that provides an inventory of drainage predictions conducted over the life of asset.","Closure presents the opportunity for the most accurate prediction of drainage chemistries for the post-closure asset development stage. During this stage, mine waste and water inventories are measured (not predicted), monitoring data indicating performance of ARD/ML measures are available, and the history of water and waste management is recorded. 

This information is used to update drainage chemistry predictions of all mine landforms remaining after closure (eg pits, waste rock storage facilities, underground workings, tailings storage facilities). Where mine water will be actively managed during the post-closure stage (eg water treatment, controlled release), the asset’s water quality model is updated to reflect the closure water management strategy.

All data and information generated by prediction activities should be made available in a digital format, included (consolidated) and properly referenced in the ARD/ML management plan.","Links to other ARD/ML Leading practices Areas/Activities	
(1) Develop and refine ARD/ML management plan → All leading practice activities
(2) Monitor and assess performance → Transparency in data management and reporting
(3) Integrated closure → Integrated closure","(1) Chapter 4: Defining the Problem - Characterisation
(2) Chapter 5: Prediction
(3) Chapter 9: ARD/ML Management and Performance Assessment
(4) Chapter 11: Sustainable Mine Closure",No figure,No figure,No figure,Y
49,Closure,Develop and refine ARD/ML management plan,"Prevention, Mitigation, and Treatment","In the closure stage, the prevention and mitigation measures described in the ARD/ML management plan, incorporating closure and post-closure stages, have been largely executed. Monitoring, data analysis and interpretation are conducted as described in the ARD/ML management plan, and the results are used to inform the adaptive management process for implementation during the closure stage as needed. In the event of dealing with an existing closed asset (ie legacy asset), available information and data should be reviewed against the requirements of the ARD/ML practices and activities defined in the preceding asset development stages.","(1) Are the objectives, KPIs, requirements, and expectations still applicable to the closure stage? 
(2) Are there changes that occur during the closure stage that warrant a change in the described prevention, mitigation or treatment strategies in the ARD/ML management plan and closure plan?","During the closure stage, the prevention, mitigation, and treatment strategies are implemented, and monitoring and performance assessment activities are carried out. The results of the monitoring and performance assessment are used to reassess the effectiveness of the prevention, mitigation and treatment measures described in the ARD/ML management plan and closure plan, and the measures are revised as appropriate.","(1) Results from geochemical characterisation program 
(2) Results from prediction of drainage chemistry
(3) Standard operating procedures
(4) Company drainage prediction guidelines/requirements
(5) Applicable regulatory guidelines and site permit requirements
(6) Monitoring data
(7) Key performance indicators
(8) ARD/ML management plan, including monitoring results and evidence for compliance to plan 
(9) Closure plan","Methods for prevention and mitigation of ARD/ML applied during the closure stage for sources of ARD/ML (eg waste rock, tailings, open pit/high walls, underground workings, heap leaches, borrow pits) may include, but are not limited to:
(1) relocation of source material
(2) dry or water covers
(3) flooding of open pits or underground workings
(4) underground workings seals
(5) reprocessing of source materials 

The approach to mine drainage treatment during and after closure of mining operations must be placed in context with respect to the following factors:
(1) Closure outcomes, objectives and criteria
(2) Predicted changes in mine drainage flow and quality
(3) Climate change over the long term
(4) Long-term land holdings and maintenance requirements
(5) Capital replacement cost
(6) Non-mining water user requirements
(7) Regulatory and company requirements
(8) Post-mining land capability and use requirements and agreements
(9) Involvement from non-mining stakeholders

If the results of the closure stage monitoring and performance evaluation require reassessment of the effectiveness of the prevention, mitigation and treatment measures described in the ARD/ML management plan and closure plan, the ARD/ML management plan and/or closure plan are revised and corrective measures are implemented as appropriate.","(1) ARD/ML objectives, standards, and KPIs → Set ARD/ML objectives, standards, and KPIs at asset level
(2) Develop and refine ARD/ML management plan → Characterisation
(3) Develop and refine ARD/ML management plan → Prediction
(4) Develop and refine ARD/ML management plan → Monitoring plan
(5) Implement ARD/ML management plan → Integration with mine planning and operations
(6) Monitor and assess performance → Transparency in data management and reporting","(1) Chapter 6: Prevention and Mitigation
(2) Chapter 6, Figure 6-1: Options and Effectiveness with Time
(3) Chapter 6, Figure 6-18: Prevention and Mitigation Evaluation of Alternatives
(4) Chapter 6, Table 6-7: Summary of Prevention and Mitigative Measures and Climate Considerations
(5) Chapter 11: Sustainable Mine Closure ",Picture,Picture,Picture,Y
50,Closure,Develop and refine ARD/ML management plan,Monitoring Program Plan,"During closure, the monitoring focus is on data collection at strategic sampling locations selected to assess the performance of the closure measures in accordance with the ARD/ML management plan and the closure plan. The monitoring program may require revisions to meet the specific objectives of the closure monitoring. In the event of dealing with an existing closed asset (ie legacy asset), available information and data should be reviewed against the requirements of the ARD/ML practices and activities defined in the preceding asset development stages.","(1) Are modifications to the monitoring plan (eg locations, parameters, monitoring methods) required in order to facilitate the assessment of the performance of specific closure measures and to identify the need for adaptive management or to meet specific closure criteria?",The ARD/ML management plan is a dynamic document that is updated as required to incorporate site changes relevant to ARD/ML; the monitoring program is modified accordingly such that the defined objectives of the ARD/ML management plan continue to be met. The closure plan may include specific objectives and requirements related to closure monitoring. ,"(1) ARD/ML management plan 
(2) Closure plan objectives, outcomes, criteria and agreed post-mining land capabilities and use(s) 
(3) Monitoring data from previous asset development stages
(4) Company drainage prediction guidelines/requirements
(5) Company closure standards
(6) Applicable regulatory guidelines and site permit requirements","If modifications to the monitoring program are required to meet the objectives of the ARD/ML management plan or the closure plan, the monitoring plan is updated accordingly.","(1) Implement ARD/ML management plan → Integration with mine planning and operations
(2) Monitor and assess performance → Transparency in data management and reporting
(3) Continual improvement of ARD/ML practices → Adaptive management
(4) Integrated closure → Integrated closure","(1) Chapter 8: Monitoring
(2) Chapter 11: Sustainable Mine Closure",No figure,No figure,No figure,Y
